order_id,order_date,order_status,sales_channel,customer_id,customer_name,segment,city,state,signup_date,transaction_id,product_id,product_name,category,quantity,unit_price,discount_amount,line_total
1001,2025-01-10,Completed,Direct,1,Northstar Medical Group,Healthcare,Boston,MA,2025-01-08,1,101,Business Laptop Pro 14,Hardware,3,1199.00,150.00,3447.00
1001,2025-01-10,Completed,Direct,1,Northstar Medical Group,Healthcare,Boston,MA,2025-01-08,2,102,Docking Station,Hardware,3,229.00,0.00,687.00
1002,2025-01-18,Completed,Online,2,Summit Legal Partners,Professional Services,Hartford,CT,2025-01-16,3,106,Cloud Backup Annual Plan,Software,2,499.00,0.00,998.00
1002,2025-01-18,Completed,Online,2,Summit Legal Partners,Professional Services,Hartford,CT,2025-01-16,4,112,Security Awareness Training,Services,1,650.00,50.00,600.00
1003,2025-01-30,Completed,Direct,3,Greenfield Academy,Education,Providence,RI,2025-01-28,5,107,Analytics Starter License,Software,4,799.00,200.00,2996.00
1003,2025-01-30,Completed,Direct,3,Greenfield Academy,Education,Providence,RI,2025-01-28,6,103,Wireless Keyboard Bundle,Accessories,6,89.00,0.00,534.00
1004,2025-02-05,Completed,Online,4,Harbor Cafe Co.,Hospitality,Portland,ME,2025-02-03,7,104,Office Chair Ergonomic,Furniture,5,349.00,100.00,1645.00
1004,2025-02-05,Completed,Online,4,Harbor Cafe Co.,Hospitality,Portland,ME,2025-02-03,8,105,Standing Desk Converter,Furniture,2,289.00,0.00,578.00
1005,2025-02-14,Completed,Partner,5,BrightPath Nonprofit,Nonprofit,Manchester,NH,2025-02-12,9,109,Data Migration Package,Services,1,1450.00,150.00,1300.00
1005,2025-02-14,Completed,Partner,5,BrightPath Nonprofit,Nonprofit,Manchester,NH,2025-02-12,10,106,Cloud Backup Annual Plan,Software,1,499.00,0.00,499.00
1006,2025-02-27,Completed,Direct,6,Metro Design Studio,Creative Services,New York,NY,2025-02-25,11,101,Business Laptop Pro 14,Hardware,2,1199.00,0.00,2398.00
1006,2025-02-27,Completed,Direct,6,Metro Design Studio,Creative Services,New York,NY,2025-02-25,12,110,HD Webcam,Accessories,4,129.00,0.00,516.00
1007,2025-03-07,Completed,Direct,7,Blue Ridge Logistics,Transportation,Albany,NY,2025-03-04,13,108,Network Setup Service,Services,1,950.00,0.00,950.00
1007,2025-03-07,Completed,Direct,7,Blue Ridge Logistics,Transportation,Albany,NY,2025-03-04,14,102,Docking Station,Hardware,5,229.00,50.00,1095.00
1008,2025-03-19,Completed,Online,8,Evergreen Accounting,Professional Services,Burlington,VT,2025-03-17,15,107,Analytics Starter License,Software,2,799.00,0.00,1598.00
1008,2025-03-19,Completed,Online,8,Evergreen Accounting,Professional Services,Burlington,VT,2025-03-17,16,106,Cloud Backup Annual Plan,Software,2,499.00,0.00,998.00
1009,2025-03-31,Completed,Partner,9,Lakeside Dental Care,Healthcare,Springfield,MA,2025-03-29,17,101,Business Laptop Pro 14,Hardware,1,1199.00,0.00,1199.00
1009,2025-03-31,Completed,Partner,9,Lakeside Dental Care,Healthcare,Springfield,MA,2025-03-29,18,103,Wireless Keyboard Bundle,Accessories,3,89.00,0.00,267.00
1021,2025-03-11,Completed,Online,4,Harbor Cafe Co.,Hospitality,Portland,ME,2025-02-03,40,106,Cloud Backup Annual Plan,Software,2,499.00,0.00,998.00
1010,2025-04-04,Completed,Direct,1,Northstar Medical Group,Healthcare,Boston,MA,2025-01-08,19,109,Data Migration Package,Services,1,1450.00,0.00,1450.00
1010,2025-04-04,Completed,Direct,1,Northstar Medical Group,Healthcare,Boston,MA,2025-01-08,20,112,Security Awareness Training,Services,2,650.00,100.00,1200.00
1011,2025-04-08,Completed,Online,10,Pioneer Retail Supply,Retail,Worcester,MA,2025-04-06,21,111,Conference Room Display,Hardware,1,1899.00,100.00,1799.00
1011,2025-04-08,Completed,Online,10,Pioneer Retail Supply,Retail,Worcester,MA,2025-04-06,22,110,HD Webcam,Accessories,2,129.00,0.00,258.00
1012,2025-04-21,Completed,Direct,11,Urban Fitness Collective,Fitness,New Haven,CT,2025-04-19,23,104,Office Chair Ergonomic,Furniture,4,349.00,0.00,1396.00
1012,2025-04-21,Completed,Direct,11,Urban Fitness Collective,Fitness,New Haven,CT,2025-04-19,24,106,Cloud Backup Annual Plan,Software,1,499.00,0.00,499.00
1022,2025-04-18,Completed,Partner,5,BrightPath Nonprofit,Nonprofit,Manchester,NH,2025-02-12,41,112,Security Awareness Training,Services,2,650.00,0.00,1300.00
1028,2025-04-25,Completed,Direct,13,Beacon Engineering,Manufacturing,Lowell,MA,2025-04-14,46,109,Data Migration Package,Services,1,1450.00,100.00,1350.00
1013,2025-05-04,Completed,Partner,12,Cedar Hill Library,Public Sector,Concord,NH,2025-05-02,25,107,Analytics Starter License,Software,1,799.00,0.00,799.00
1013,2025-05-04,Completed,Partner,12,Cedar Hill Library,Public Sector,Concord,NH,2025-05-02,26,112,Security Awareness Training,Services,1,650.00,0.00,650.00
1014,2025-05-16,Completed,Direct,13,Beacon Engineering,Manufacturing,Lowell,MA,2025-04-14,27,101,Business Laptop Pro 14,Hardware,4,1199.00,300.00,4496.00
1014,2025-05-16,Completed,Direct,13,Beacon Engineering,Manufacturing,Lowell,MA,2025-04-14,28,102,Docking Station,Hardware,4,229.00,0.00,916.00
1015,2025-05-29,Completed,Online,14,Riverfront Events,Hospitality,Newport,RI,2025-02-20,29,108,Network Setup Service,Services,1,950.00,0.00,950.00
1015,2025-05-29,Completed,Online,14,Riverfront Events,Hospitality,Newport,RI,2025-02-20,30,105,Standing Desk Converter,Furniture,3,289.00,0.00,867.00
1023,2025-05-22,Completed,Direct,8,Evergreen Accounting,Professional Services,Burlington,VT,2025-03-17,42,105,Standing Desk Converter,Furniture,4,289.00,0.00,1156.00
1026,2025-05-10,Completed,Online,11,Urban Fitness Collective,Fitness,New Haven,CT,2025-04-19,45,110,HD Webcam,Accessories,6,129.00,0.00,774.00
1029,2025-02-22,Completed,Online,14,Riverfront Events,Hospitality,Newport,RI,2025-02-20,48,111,Conference Room Display,Hardware,1,1899.00,150.00,1749.00
1016,2025-06-11,Completed,Direct,15,Oak Street Pharmacy,Healthcare,Salem,MA,2025-06-09,31,109,Data Migration Package,Services,1,1450.00,100.00,1350.00
1016,2025-06-11,Completed,Direct,15,Oak Street Pharmacy,Healthcare,Salem,MA,2025-06-09,32,106,Cloud Backup Annual Plan,Software,3,499.00,100.00,1397.00
1017,2025-06-15,Completed,Online,2,Summit Legal Partners,Professional Services,Hartford,CT,2025-01-16,33,111,Conference Room Display,Hardware,1,1899.00,0.00,1899.00
1017,2025-06-15,Completed,Online,2,Summit Legal Partners,Professional Services,Hartford,CT,2025-01-16,34,103,Wireless Keyboard Bundle,Accessories,8,89.00,0.00,712.00
1018,2025-06-20,Completed,Partner,3,Greenfield Academy,Education,Providence,RI,2025-01-28,35,107,Analytics Starter License,Software,3,799.00,150.00,2247.00
1018,2025-06-20,Completed,Partner,3,Greenfield Academy,Education,Providence,RI,2025-01-28,36,110,HD Webcam,Accessories,5,129.00,0.00,645.00
1019,2025-06-25,Completed,Direct,6,Metro Design Studio,Creative Services,New York,NY,2025-02-25,37,101,Business Laptop Pro 14,Hardware,2,1199.00,100.00,2298.00
